id,name,address,phone_num
1000001,"Ankunding, Schuster and Zieme",406 Trailsway Avenue,469 198 2912
1000002,"Upton, Kessler and Wilkinson",63113 Hudson Street,708 353 5921
1000003,Hickle Group,4086 Lien Street,558 633 5270
1000004,Baumbach-Gibson,1077 West Parkway,212 334 4473
1000005,Cronin-Ward,2735 Hansons Center,322 699 1824
1000006,Kub-Brakus,48670 Haas Trail,672 239 5451
1000007,Bergstrom-Smitham,3 Goodland Plaza,626 915 8213
1000008,Mayer-Dibbert,618 North Place,934 790 9445
1000009,Schmitt-Kuhlman,1209 Kim Crossing,868 342 1228
1000010,Krajcik and Sons,47 Service Point,577 584 6512
