promotion_id,promotion_name,start_date,end_date,promotion_type,discount percen
sp-30001,Super Shopping 12/12,12/12/2023,12/15/2023,SHOPPR,5
sp-30002,Christmas,12/10/2023,12/30/2023,SHOPPR,5
sp-30003,Christmas,12/10/2023,12/30/2023,SHOPPR,5
sp-30004,Christmas,12/10/2023,12/30/2023,SHOPPR,5
sp-30005,Christmas,12/10/2023,12/30/2023,SHOPPR,5
sp-30006,Christmas,12/10/2023,12/30/2023,SHOPPR,5
sp-30007,Christmas,12/10/2023,12/27/2023,SHOPPR,5
sp-30008,Christmas,12/10/2023,12/30/2023,SHOPPR,5
sp-30009,Christmas,12/10/2023,12/28/2023,SHOPPR,5
sp-30010,Christmas,12/10/2023,12/28/2023,SHOPPR,5
sp-30011,Christmas,12/10/2023,12/30/2023,SHOPPR,5
sp-30012,Christmas,12/10/2023,12/30/2023,SHOPPR,5
sp-30015,Gift Voucher,12/10/2023,12/15/2023,SHOPPR,5
sp-30016,Gift Voucher,12/10/2023,12/15/2023,SHOPPR,5
sp-30017,Gift Voucher,12/10/2023,12/15/2023,SHOPPR,5
sp-30018,Gift Voucher,12/10/2023,12/12/2023,SHOPPR,5
sp-30020,Birthday Sale,12/10/2023,12/15/2023,SHOPPR,10
sp-30021,Birthday Sale,12/10/2023,12/15/2023,SHOPPR,10
sp-30022,Birthday Sale,12/10/2023,12/15/2023,SHOPPR,10
sp-30023,Birthday Sale,12/10/2023,12/15/2023,SHOPPR,10
sp-30024,Birthday Sale,12/10/2023,12/15/2023,SHOPPR,10
sp-30025,Birthday Sale,12/10/2023,12/15/2023,SHOPPR,10
sp-30026,Birthday Sale,12/10/2023,12/15/2023,SHOPPR,10
sp-30027,Birthday Sale,12/10/2023,12/15/2023,SHOPPR,10
sp-30028,Birthday Sale,12/10/2023,12/15/2023,SHOPPR,10
sp-30029,Birthday Sale,12/10/2023,12/15/2023,SHOPPR,10
sp-30030,Birthday Sale,12/10/2023,12/15/2023,SHOPPR,10
sp-30031,Birthday Sale,12/10/2023,12/15/2023,SHOPPR,10
sp-30032,Birthday Sale,12/10/2023,12/15/2023,SHOPPR,10
sp-30033,Birthday Sale,12/10/2023,12/15/2023,SHOPPR,10
sp-30034,Birthday Sale,12/10/2023,12/15/2023,SHOPPR,10
sp-30035,Birthday Sale,12/10/2023,12/15/2023,SHOPPR,10
sp-30036,Birthday Sale,12/10/2023,12/15/2023,SHOPPR,10
sp-30037,Birthday Sale,12/10/2023,12/15/2023,SHOPPR,10
sp-30038,Birthday Sale,12/10/2023,12/15/2023,SHOPPR,10
sp-30039,Birthday Sale,12/10/2023,12/15/2023,SHOPPR,10
sp-30040,Birthday Sale,12/10/2023,12/15/2023,SHOPPR,11
sp-30041,Birthday Sale,12/10/2023,12/15/2023,SHOPPR,12
vc-30026,Welcome new members in December,12/1/2023,12/30/2023,VOUCHER,5
vc-30027,Welcome new members in December,12/1/2023,12/30/2023,VOUCHER,5
vc-30028,Welcome new members in December,12/1/2023,12/30/2023,VOUCHER,5
vc-30029,Welcome new members in December,12/1/2023,12/30/2023,VOUCHER,5
vc-30030,Welcome new members in December,12/1/2023,12/30/2023,VOUCHER,5
s-30006,Economics Sale,12/1/2023,12/1/2023,SALE,3
s-30007,Economics Sale,12/1/2023,12/1/2023,SALE,3
s-30008,Economics Sale,12/1/2023,12/1/2023,SALE,3
s-30009,Economics Sale,12/1/2023,12/1/2023,SALE,3
s-30010,Economics Sale,12/1/2023,12/1/2023,SALE,3
s-30011,Economics Sale,12/1/2023,12/1/2023,SALE,3
s-30012,Economics Sale,12/1/2023,12/1/2023,SALE,3
s-30013,Economics Sale,12/1/2023,12/1/2023,SALE,3
s-30014,Economics Sale,12/1/2023,12/1/2023,SALE,3
s-30015,Clean House for New Year,12/1/2023,12/30/2023,SALE,3
s-30016,Clean House for New Year,12/1/2023,12/30/2023,SALE,3
s-30017,International Men's Day,11/19/2023,12/12/2023,SALE,3
s-30018,International Men's Day,11/19/2023,12/12/2023,SALE,3
s-30019,International Men's Day,11/19/2023,12/12/2023,SALE,3
s-30020,International Day of Emancipation of Slaves,12/2/2023,12/20/2023,SALE,5
s-30021,International Day of Emancipation of Slaves,12/2/2023,12/20/2023,SALE,5
s-30022,International Day of Emancipation of Slaves,12/2/2023,12/20/2023,SALE,5
vc-30031,Welcome new members in December,12/1/2023,12/30/2023,VOUCHER,5
